frame,time_sec,left_ratio,right_ratio,avg_ratio,blink_event
138,4.605,0.24876,0.28716,0.26796,0
139,4.638,0.26173,0.27509,0.26841,0
140,4.671,0.25514,0.28486,0.27,0
141,4.705,0.24146,0.28057,0.26102,0
142,4.738,0.24605,0.28063,0.26334,0
143,4.771,0.26992,0.27891,0.27442,0
144,4.805,0.27114,0.28361,0.27738,0
145,4.838,0.2574,0.28608,0.27174,0
146,4.872,0.26898,0.29852,0.28375,0
147,4.905,0.26899,0.29523,0.28211,0
148,4.938,0.25952,0.28033,0.26992,0
149,4.972,0.28469,0.2846,0.28464,0
150,5.005,0.2838,0.30545,0.29462,0
151,5.038,0.30397,0.32332,0.31364,0
152,5.072,0.30296,0.33491,0.31894,0
153,5.105,0.29704,0.32679,0.31191,0
154,5.138,0.28843,0.31698,0.30271,0
155,5.172,0.29285,0.32158,0.30721,0
156,5.205,0.29583,0.3259,0.31086,0
157,5.239,0.29917,0.33389,0.31653,0
158,5.272,0.29164,0.33459,0.31311,0
159,5.305,0.26838,0.29563,0.28201,0
160,5.339,0.14957,0.1259,0.13773,0
161,5.372,0.12473,0.09328,0.10901,0
162,5.405,0.17277,0.19605,0.18441,0
163,5.439,0.21866,0.25055,0.23461,0
164,5.472,0.24566,0.27087,0.25826,0
165,5.506,0.26019,0.27807,0.26913,1
166,5.539,0.25973,0.27972,0.26973,0
167,5.572,0.26123,0.28954,0.27538,0
168,5.606,0.25463,0.2924,0.27351,0
169,5.639,0.24747,0.2901,0.26879,0
170,5.672,0.24573,0.28474,0.26524,0
171,5.706,0.25803,0.29005,0.27404,0
172,5.739,0.25324,0.29079,0.27201,0
173,5.772,0.24433,0.30255,0.27344,0
174,5.806,0.23367,0.2831,0.25838,0
175,5.839,0.22675,0.26884,0.24779,0
176,5.873,0.2381,0.27758,0.25784,0
177,5.906,0.24499,0.2807,0.26284,0
178,5.939,0.24352,0.28029,0.2619,0
179,5.973,0.2571,0.29071,0.27391,0
